id;modele;id_marque;rappel_marque
420;VIOLET;31;DATSUN
421;AVENGER;32;DODGE
422;CALIBER;32;DODGE
423;JOURNEY;32;DODGE
424;NITRO;32;DODGE
425;DS3;33;DS
426;DS3 CROSSBACK;33;DS
427;DS3 II;33;DS
428;DS4;33;DS
429;DS4 II;33;DS
430;DS5;33;DS
431;DS7;33;DS
432;DS7 CROSSBACK;33;DS
433;DS9;33;DS
434;F275;34;EBRO
435;F350;34;EBRO
436;JX20;34;EBRO
437;JX28;34;EBRO
438;PATROL;34;EBRO
439;TRADE;34;EBRO
440;VANETTE;34;EBRO
441;ROMA;35;FERRARI
442;E-BOX M;36;FEST
443;124;37;FIAT
444;124 SPIDER;37;FIAT
445;126;37;FIAT
446;127;37;FIAT
447;128;37;FIAT
448;130;37;FIAT
449;131;37;FIAT
450;132;37;FIAT
451;133;37;FIAT
452;238;37;FIAT
453;4X4 CROSS;37;FIAT
454;500;37;FIAT
455;500 III;37;FIAT
456;500L;37;FIAT
457;500X;37;FIAT
458;600;37;FIAT
459;600 III;37;FIAT
460;850;37;FIAT
461;900;37;FIAT
462;ARGENTA;37;FIAT
463;BARCHETTA;37;FIAT
464;BRAVA;37;FIAT
465;BRAVO;37;FIAT
466;BRAVO II;37;FIAT
467;CINQUECENTO;37;FIAT
468;COUPE;37;FIAT
469;CROMA;37;FIAT
470;DOBLO;37;FIAT
471;DOBLO III;37;FIAT
472;DUCATO;37;FIAT
473;FIORINO;37;FIAT
474;FIORINO QUBO;37;FIAT
475;FREEMONT;37;FIAT
476;FULLBACK;37;FIAT
477;GRANDE PUNTO;37;FIAT
478;IDEA;37;FIAT
479;MAREA;37;FIAT
480;MULTIPLA;37;FIAT
481;PALIO;37;FIAT
482;PANDA;37;FIAT
483;PININFARINA;37;FIAT
484;PUNTO;37;FIAT
485;PUNTO EVO;37;FIAT
486;REGATA;37;FIAT
487;RITMO;37;FIAT
488;SCUDO;37;FIAT
489;SCUDO III;37;FIAT
490;SEDICI;37;FIAT
491;SEICENTO;37;FIAT
492;STILO;37;FIAT
493;STRADA;37;FIAT
494;TALENTO;37;FIAT
495;TEMPRA;37;FIAT
496;TIPO;37;FIAT
497;ULYSSE;37;FIAT
498;ULYSSE III;37;FIAT
499;UNO;37;FIAT
500;X1\/9;37;FIAT
501;KARMA;38;FISKER
502;OCEAN;38;FISKER
503;A0406;39;FORD
504;A0407;39;FORD
505;A0408;39;FORD
506;A0409;39;FORD
507;A0410;39;FORD
508;AEROSTAR;39;FORD
509;ANGLIA;39;FORD
510;B-MAX;39;FORD
511;CAPRI;39;FORD
512;CONSUL;39;FORD
513;CORTINA;39;FORD
514;COUGAR;39;FORD
515;COURRIER;39;FORD
516;ECOSPORT;39;FORD
517;EDGE;39;FORD
518;ESCORT;39;FORD
519;EXPLORER;39;FORD
520;FIESTA;39;FORD
521;FOCUS;39;FORD
522;FOCUS C-MAX;39;FORD
523;FOCUS IV;39;FORD
524;FUSION;39;FORD
525;GALAXY;39;FORD
526;GRANADA;39;FORD
527;KA;39;FORD
528;KA+;39;FORD
529;KUGA;39;FORD
530;KUGA III;39;FORD
531;MAVERICK;39;FORD
532;MONDEO;39;FORD
533;MONDEO*;39;FORD
534;MUSTANG;39;FORD
535;MUSTANG MACH-E;39;FORD
536;ORION;39;FORD
537;P 100;39;FORD
538;PROBE;39;FORD
539;PUMA;39;FORD
540;PUMA II;39;FORD
541;RANGER;39;FORD
542;RANGER IV;39;FORD
543;S-MAX;39;FORD
544;SCORPIO;39;FORD
545;SIERRA;39;FORD
546;TAUNUS;39;FORD
547;TOURNEO;39;FORD
548;TOURNEO CONNECT;39;FORD
549;TOURNEO CONNECT III;39;FORD
550;TOURNEO COURIER;39;FORD
551;TOURNEO CUSTOM;39;FORD
552;TOURNEO CUSTOM II;39;FORD
553;TRANSIT;39;FORD
554;TRANSIT CONNECT;39;FORD
555;TRANSIT COURIER;39;FORD
556;TRANSIT CUSTOM;39;FORD
557;TRANSIT CUSTOM II;39;FORD
558;TRANSIT VI;39;FORD
559;125;40;FSO-POLSKI
560;125P;40;FSO-POLSKI
561;1500;40;FSO-POLSKI
562;ATOU;40;FSO-POLSKI
563;CARO;40;FSO-POLSKI
564;LINDA;40;FSO-POLSKI
565;POLONEZ;40;FSO-POLSKI
566;TRUCK;40;FSO-POLSKI
567;GA;41;GAC GONOW
568;WAY;41;GAC GONOW
569;MIDI;42;GME
570;RASCAL;42;GME
571;DALLAS;43;GRANDIN
572;ACCORD;44;HONDA
573;ACTY;44;HONDA
574;CIVIC;44;HONDA
575;CIVIC XI;44;HONDA
576;CONCERTO;44;HONDA
577;CR-Z;44;HONDA
578;CRV;44;HONDA
579;CRV V;44;HONDA
580;CRV VI;44;HONDA
581;CRX;44;HONDA
582;E:NY1;44;HONDA
583;FR-V;44;HONDA
584;HONDA E;44;HONDA
585;HR-V;44;HONDA
586;HR-V III;44;HONDA
587;INSIGHT;44;HONDA
588;INTEGRA;44;HONDA
589;JAZZ;44;HONDA
590;JAZZ IV;44;HONDA
591;LEGEND;44;HONDA
592;LOGO;44;HONDA
593;N360;44;HONDA
594;NSX;44;HONDA
595;PRELUDE;44;HONDA
596;QUINTET;44;HONDA
597;S2000;44;HONDA
598;SHUTTLE;44;HONDA
599;STREAM;44;HONDA
600;ZR-V;44;HONDA
601;ACCENT;45;HYUNDAI
602;ATOS;45;HYUNDAI
603;AZERA;45;HYUNDAI
604;BAYON;45;HYUNDAI
605;COUPE;45;HYUNDAI
606;ELANTRA;45;HYUNDAI
607;GALLOPER;45;HYUNDAI
608;GENESIS;45;HYUNDAI
609;GETZ;45;HYUNDAI
610;H-1;45;HYUNDAI
611;H100;45;HYUNDAI
612;I10;45;HYUNDAI
613;I10 III;45;HYUNDAI
614;I20;45;HYUNDAI
615;I20 III;45;HYUNDAI
616;I30;45;HYUNDAI
617;I40;45;HYUNDAI
618;IONIQ;45;HYUNDAI
619;IONIQ 5;45;HYUNDAI
620;IONIQ 6;45;HYUNDAI
621;IX20;45;HYUNDAI
622;IX35;45;HYUNDAI
623;IX55;45;HYUNDAI
624;KONA;45;HYUNDAI
625;KONA II;45;HYUNDAI
626;LANTRA;45;HYUNDAI
627;MATRIX;45;HYUNDAI
628;NEXO;45;HYUNDAI
629;PONY;45;HYUNDAI
630;SANTA FE;45;HYUNDAI
631;SATELLITE;45;HYUNDAI
632;SCOUPE;45;HYUNDAI
633;SONATA;45;HYUNDAI
634;TERRACAN;45;HYUNDAI
635;TRAJET;45;HYUNDAI
636;TUCSON;45;HYUNDAI
637;TUCSON IV;45;HYUNDAI
638;VELOSTER;45;HYUNDAI
639;XG;45;HYUNDAI
640;GRENADIER;46;INEOS
641;EX;47;INFINITI
642;FX;47;INFINITI
643;G;47;INFINITI
644;M;47;INFINITI
645;Q30;47;INFINITI
646;Q50;47;INFINITI
647;Q60;47;INFINITI
648;Q70;47;INFINITI
649;QX30;47;INFINITI
650;QX50;47;INFINITI
651;QX70;47;INFINITI
652;1000;48;INNOCENTI
653;1100;48;INNOCENTI
654;2200;48;INNOCENTI
655;500;48;INNOCENTI
656;650;48;INNOCENTI
657;90;48;INNOCENTI
658;990;48;INNOCENTI
659;DE TOMASO;48;INNOCENTI
660;MINI;48;INNOCENTI
661;MINIMATIC;48;INNOCENTI
662;DMAX;49;ISUZU
663;D-MAX III;49;ISUZU
664;SERIE N;49;ISUZU
665;TROOPER;49;ISUZU
666;DAILY;50;IVECO
667;MASSIF;50;IVECO
668;420;51;JAGUAR
669;E;51;JAGUAR
670;E-PACE;51;JAGUAR
671;F-PACE;51;JAGUAR
672;F-TYPE;51;JAGUAR
673;I-PACE;51;JAGUAR
674;S-TYPE;51;JAGUAR
675;SOVEREIGN;51;JAGUAR
676;V12;51;JAGUAR
677;X-TYPE;51;JAGUAR
678;XE;51;JAGUAR
679;XF;51;JAGUAR
680;XJ;51;JAGUAR
681;XJ6;51;JAGUAR
682;XJ8;51;JAGUAR
683;XJR;51;JAGUAR
684;XJS;51;JAGUAR
685;XJSC;51;JAGUAR
686;XK;51;JAGUAR
687;XK8;51;JAGUAR
688;AVENGER;52;JEEP
689;CHEROKEE;52;JEEP
690;COMMANDER;52;JEEP
691;COMPASS;52;JEEP
692;GLADIATOR;52;JEEP
693;GRAND CHEROKEE;52;JEEP
694;GRAND CHEROKEE V;52;JEEP
695;PATRIOT;52;JEEP
696;RENEGADE;52;JEEP
697;WRANGLER;52;JEEP
698;WRANGLER IV;52;JEEP
699;BESTA;53;KIA
700;CARENS;53;KIA
701;CARNIVAL;53;KIA
702;CEED;53;KIA
703;CEED III;53;KIA
704;CERATO;53;KIA
705;CLARUS;53;KIA
706;E-SOUL;53;KIA
707;EV6;53;KIA
708;EV9;53;KIA
709;MAGENTIS;53;KIA
710;NIRO;53;KIA
711;NIRO II;53;KIA
712;OPIRUS;53;KIA
713;OPTIMA;53;KIA
714;PICANTO;53;KIA
715;PREGIO;53;KIA
716;PRIDE;53;KIA
717;RIO;53;KIA
718;SEPHIA;53;KIA
719;SHUMA;53;KIA
720;SORENTO;53;KIA
721;SORENTO IV;53;KIA
722;SOUL;53;KIA
723;SPORTAGE;53;KIA
724;SPORTAGE V;53;KIA
725;STINGER;53;KIA
726;STONIC;53;KIA
727;VENGA;53;KIA
728;110;54;LADA
729;111;54;LADA
730;1118;54;LADA
731;112;54;LADA
732;1200;54;LADA
733;1300;54;LADA
734;1500;54;LADA
735;1600;54;LADA
736;GRANTA;54;LADA
737;KALINA;54;LADA
738;KALINKA;54;LADA
739;NIVA;54;LADA
740;PRIORA;54;LADA
741;SAGONA;54;LADA
742;SAMARA;54;LADA
743;BETA;56;LANCIA
744;DEDRA;56;LANCIA
745;DELTA;56;LANCIA
746;FLAMINIA;56;LANCIA
747;FLAVIA;56;LANCIA
748;FULVIA;56;LANCIA
749;GAMMA;56;LANCIA
750;KAPPA;56;LANCIA
751;LYBRA;56;LANCIA
752;MUSA;56;LANCIA
753;PHEDRA;56;LANCIA
754;PRISMA;56;LANCIA
755;THEMA;56;LANCIA
756;THESIS;56;LANCIA
757;TREVI;56;LANCIA
758;VOYAGER;56;LANCIA
759;Y;56;LANCIA
760;Y10;56;LANCIA
761;YPSILON;56;LANCIA
762;ZETA;56;LANCIA
763;110;57;LAND ROVER
764;88;57;LAND ROVER
765;90;57;LAND ROVER
766;DEFENDER;57;LAND ROVER
767;DEFENDER II;57;LAND ROVER
768;DISCOVERY;57;LAND ROVER
769;DISCOVERY SPORT;57;LAND ROVER
770;EVOQUE;57;LAND ROVER
771;EVOQUE II;57;LAND ROVER
772;FREELANDER;57;LAND ROVER
773;RANGE 4X4;57;LAND ROVER
774;RANGE ROVER SPORT;57;LAND ROVER
775;RANGE ROVER SPORT III;57;LAND ROVER
776;RANGE ROVER V;57;LAND ROVER
777;VELAR;57;LAND ROVER
778;CONVOY;58;LDV
779;T03;59;LEAPMOTOR
780;CT;60;LEXUS
781;ES;60;LEXUS
782;GS;60;LEXUS
783;IS;60;LEXUS
784;IS SPORTCROSS;60;LEXUS
785;LBX;60;LEXUS
786;LC;60;LEXUS
787;LFA;60;LEXUS
788;LM;60;LEXUS
789;LS;60;LEXUS
790;LS II;60;LEXUS
791;NX;60;LEXUS
792;NX II;60;LEXUS
793;RC;60;LEXUS
794;RX;60;LEXUS
795;RX III;60;LEXUS
796;RZ;60;LEXUS
797;SC;60;LEXUS
798;UX;60;LEXUS
799;ELAN;61;LOTUS
800;ELETRE;61;LOTUS
801;ELISE;61;LOTUS
802;EMIRA;61;LOTUS
803;ESPRIT;61;LOTUS
804;EUROPA;61;LOTUS
805;EXIGE;61;LOTUS
806;OMEGA;61;LOTUS
807;1;62;LYNK&CO
808;BOLERO;63;MAHINDRA
809;CJ;63;MAHINDRA
810;GOA;63;MAHINDRA
811;TGE;64;MAN
812;800;65;MARUTI
813;COUPE;66;MASERATI
814;GHIBLI;66;MASERATI
815;GRANCABRIO;66;MASERATI
816;GRANSPORT;66;MASERATI
817;GRANTURISMO;66;MASERATI
818;GRECALE;66;MASERATI
819;MC20;66;MASERATI
820;QUATTROPORTE;66;MASERATI
821;BAGHEERA;67;MATRA
822;M530;67;MATRA
823;MURENA;67;MATRA
824;RANCHO;67;MATRA
825;1000;68;MAZDA
826;1200;68;MAZDA
827;121;68;MAZDA
828;1800;68;MAZDA
829;323;68;MAZDA
830;616;68;MAZDA
831;626;68;MAZDA
832;818;68;MAZDA
833;929;68;MAZDA
834;BONGO;68;MAZDA
835;BT50;68;MAZDA
836;CX-3;68;MAZDA
837;CX-30;68;MAZDA
838;CX-5;68;MAZDA
839;CX-60;68;MAZDA
840;CX-7;68;MAZDA
841;DEMIO;68;MAZDA
842;E2200;68;MAZDA
843;2;68;MAZDA
844;MAZDA2 IV;68;MAZDA
845;3;68;MAZDA
846;MAZDA3 IV;68;MAZDA
847;5;68;MAZDA
848;6;68;MAZDA
849;MINIBUS;68;MAZDA
850;MPV;68;MAZDA
851;MX-30;68;MAZDA
852;MX3;68;MAZDA
853;MX5;68;MAZDA
854;MX6;68;MAZDA
855;PICK-UP;68;MAZDA
856;PREMACY;68;MAZDA
857;R100;68;MAZDA
858;RX2;68;MAZDA
859;RX3;68;MAZDA
860;RX5;68;MAZDA
861;RX7;68;MAZDA
862;RX8;68;MAZDA
863;T2500;68;MAZDA
864;TRIBUTE;68;MAZDA
865;XEDOS 6;68;MAZDA
866;XEDOS 9;68;MAZDA
867;SMART;69;MCC
873;190;71;MERCEDES
874;200;71;MERCEDES
875;206;71;MERCEDES
876;207;71;MERCEDES
877;208;71;MERCEDES
878;209;71;MERCEDES
879;210;71;MERCEDES
880;220;71;MERCEDES
881;230;71;MERCEDES
882;240;71;MERCEDES
883;250;71;MERCEDES
884;260;71;MERCEDES
885;280;71;MERCEDES
886;300;71;MERCEDES
887;306;71;MERCEDES
888;307;71;MERCEDES
889;308;71;MERCEDES
890;309;71;MERCEDES
891;310;71;MERCEDES
892;320;71;MERCEDES
893;350;71;MERCEDES
894;400;71;MERCEDES
895;406;71;MERCEDES
896;407;71;MERCEDES
897;408;71;MERCEDES
898;409;71;MERCEDES
899;410;71;MERCEDES
900;420;71;MERCEDES
901;450;71;MERCEDES
902;500;71;MERCEDES
903;507;71;MERCEDES
904;508;71;MERCEDES
905;560;71;MERCEDES
906;600;71;MERCEDES
907;609;71;MERCEDES
908;611;71;MERCEDES
909;CITAN;71;MERCEDES
910;CITAN II;71;MERCEDES
911;CLASSE A;71;MERCEDES
912;CLASSE A IV;71;MERCEDES
913;CLASSE B;71;MERCEDES
914;CLASSE B III;71;MERCEDES
915;CLASSE C;71;MERCEDES
916;CLASSE C III;71;MERCEDES
917;CLASSE C IV;71;MERCEDES
918;CLASSE C V;71;MERCEDES
919;CLASSE CL;71;MERCEDES
920;CLASSE CLA;71;MERCEDES
921;CLASSE CLA II;71;MERCEDES
922;CLASSE CLC;71;MERCEDES
923;CLASSE CLE;71;MERCEDES
924;CLASSE CLK;71;MERCEDES
925;CLASSE CLS;71;MERCEDES
926;CLASSE E;71;MERCEDES
